brand,channel,account_id,campaign_id,campaign_name,currency,reporting_timezone,synthetic,date,spend,data_status,source_row_id
Tawi Outdoor,Google Ads,TW-GOOGLE-01,TW-G01,Trail shoes search,USD,Africa/Nairobi,true,2026-09-01,300,complete,TW-G01-2026-09-01
Tawi Outdoor,Google Ads,TW-GOOGLE-01,TW-G01,Trail shoes search,USD,Africa/Nairobi,true,2026-09-02,300,complete,TW-G01-2026-09-02
Tawi Outdoor,Google Ads,TW-GOOGLE-01,TW-G01,Trail shoes search,USD,Africa/Nairobi,true,2026-09-03,300,complete,TW-G01-2026-09-03
Tawi Outdoor,Google Ads,TW-GOOGLE-01,TW-G01,Trail shoes search,USD,Africa/Nairobi,true,2026-09-04,300,complete,TW-G01-2026-09-04
Tawi Outdoor,Google Ads,TW-GOOGLE-01,TW-G01,Trail shoes search,USD,Africa/Nairobi,true,2026-09-05,300,complete,TW-G01-2026-09-05
Tawi Outdoor,Google Ads,TW-GOOGLE-01,TW-G01,Trail shoes search,USD,Africa/Nairobi,true,2026-09-06,300,complete,TW-G01-2026-09-06
Tawi Outdoor,Google Ads,TW-GOOGLE-01,TW-G01,Trail shoes search,USD,Africa/Nairobi,true,2026-09-07,300,complete,TW-G01-2026-09-07
Tawi Outdoor,Google Ads,TW-GOOGLE-01,TW-G01,Trail shoes search,USD,Africa/Nairobi,true,2026-09-08,300,complete,TW-G01-2026-09-08
Tawi Outdoor,Google Ads,TW-GOOGLE-01,TW-G01,Trail shoes search,USD,Africa/Nairobi,true,2026-09-09,300,complete,TW-G01-2026-09-09
Tawi Outdoor,Google Ads,TW-GOOGLE-01,TW-G01,Trail shoes search,USD,Africa/Nairobi,true,2026-09-10,300,complete,TW-G01-2026-09-10
Tawi Outdoor,Google Ads,TW-GOOGLE-01,TW-G01,Trail shoes search,USD,Africa/Nairobi,true,2026-09-11,300,complete,TW-G01-2026-09-11
Tawi Outdoor,Google Ads,TW-GOOGLE-01,TW-G01,Trail shoes search,USD,Africa/Nairobi,true,2026-09-12,300,complete,TW-G01-2026-09-12
Tawi Outdoor,Google Ads,TW-GOOGLE-01,TW-G01,Trail shoes search,USD,Africa/Nairobi,true,2026-09-13,300,complete,TW-G01-2026-09-13
Tawi Outdoor,Google Ads,TW-GOOGLE-01,TW-G01,Trail shoes search,USD,Africa/Nairobi,true,2026-09-14,300,complete,TW-G01-2026-09-14
Tawi Outdoor,Google Ads,TW-GOOGLE-01,TW-G01,Trail shoes search,USD,Africa/Nairobi,true,2026-09-15,300,complete,TW-G01-2026-09-15
Tawi Outdoor,Google Ads,TW-GOOGLE-01,TW-G01,Trail shoes search,USD,Africa/Nairobi,true,2026-09-16,300,complete,TW-G01-2026-09-16
Tawi Outdoor,Google Ads,TW-GOOGLE-01,TW-G01,Trail shoes search,USD,Africa/Nairobi,true,2026-09-17,300,complete,TW-G01-2026-09-17
Tawi Outdoor,Google Ads,TW-GOOGLE-01,TW-G01,Trail shoes search,USD,Africa/Nairobi,true,2026-09-18,300,complete,TW-G01-2026-09-18
Tawi Outdoor,Google Ads,TW-GOOGLE-01,TW-G01,Trail shoes search,USD,Africa/Nairobi,true,2026-09-19,300,complete,TW-G01-2026-09-19
Tawi Outdoor,Google Ads,TW-GOOGLE-01,TW-G01,Trail shoes search,USD,Africa/Nairobi,true,2026-09-20,300,complete,TW-G01-2026-09-20
Tawi Outdoor,Google Ads,TW-GOOGLE-01,TW-G01,Trail shoes search,USD,Africa/Nairobi,true,2026-09-21,300,complete,TW-G01-2026-09-21
Tawi Outdoor,Google Ads,TW-GOOGLE-01,TW-G01,Trail shoes search,USD,Africa/Nairobi,true,2026-09-22,300,complete,TW-G01-2026-09-22
Tawi Outdoor,Google Ads,TW-GOOGLE-01,TW-G01,Trail shoes search,USD,Africa/Nairobi,true,2026-09-23,300,complete,TW-G01-2026-09-23
Tawi Outdoor,Meta Ads,TW-META-01,TW-M01,Camping prospecting,USD,Africa/Nairobi,true,2026-09-01,150,complete,TW-M01-2026-09-01
Tawi Outdoor,Meta Ads,TW-META-01,TW-M01,Camping prospecting,USD,Africa/Nairobi,true,2026-09-02,150,complete,TW-M01-2026-09-02
Tawi Outdoor,Meta Ads,TW-META-01,TW-M01,Camping prospecting,USD,Africa/Nairobi,true,2026-09-03,150,complete,TW-M01-2026-09-03
Tawi Outdoor,Meta Ads,TW-META-01,TW-M01,Camping prospecting,USD,Africa/Nairobi,true,2026-09-04,150,complete,TW-M01-2026-09-04
Tawi Outdoor,Meta Ads,TW-META-01,TW-M01,Camping prospecting,USD,Africa/Nairobi,true,2026-09-05,150,complete,TW-M01-2026-09-05
Tawi Outdoor,Meta Ads,TW-META-01,TW-M01,Camping prospecting,USD,Africa/Nairobi,true,2026-09-06,150,complete,TW-M01-2026-09-06
Tawi Outdoor,Meta Ads,TW-META-01,TW-M01,Camping prospecting,USD,Africa/Nairobi,true,2026-09-07,150,complete,TW-M01-2026-09-07
Tawi Outdoor,Meta Ads,TW-META-01,TW-M01,Camping prospecting,USD,Africa/Nairobi,true,2026-09-08,150,complete,TW-M01-2026-09-08
Tawi Outdoor,Meta Ads,TW-META-01,TW-M01,Camping prospecting,USD,Africa/Nairobi,true,2026-09-09,150,complete,TW-M01-2026-09-09
Tawi Outdoor,Meta Ads,TW-META-01,TW-M01,Camping prospecting,USD,Africa/Nairobi,true,2026-09-10,150,complete,TW-M01-2026-09-10
Tawi Outdoor,Meta Ads,TW-META-01,TW-M01,Camping prospecting,USD,Africa/Nairobi,true,2026-09-11,150,complete,TW-M01-2026-09-11
